"sample.names";"species";"type";"kit";"preparation";"n_elution";"group";"num";"DNAconcentration";"sequenced";"exp"
"exp1_PowerSoil-eau-2elu-7";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"7";163;TRUE;"1"
"exp1_PowerSoil-eau-2elu-8";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"8";124;FALSE;"1"
"exp1_PowerSoil-eau-2elu-9";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"9";252;TRUE;"1"
"exp1_PowerSoil-eau-2elu-10";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"10";208;TRUE;"1"
"exp1_PowerSoil-eau-2elu-11";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"11";173;TRUE;"1"
"exp1_PowerSoil-eau-2elu-12";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"12";84,4;FALSE;"1"
"exp1_PowerSoil-eau-2elu-13";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"13";43,2;FALSE;"1"
"exp1_PowerSoil-eau-2elu-14";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"14";68;FALSE;"1"
"exp1_PowerSoil-eau-2elu-15";"BCC";"sample";"PowerSoil Pro";"water";"2";"PS_water_2";"15";234;FALSE;"1"
"exp1_PowerSoil-eau-2elu-B";"BCC";"ctrl";"PowerSoil Pro";"water";"2";"PS_water_2";"negative";43,4;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-1";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"1";165;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-2";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"2";127;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-3";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"3";210;TRUE;"1"
"exp1_PowerSoil-PBS-2elu-4";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"4";126;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-5";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"5";138;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-6";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"6";167;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-7";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"7";332;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-8";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"8";408;TRUE;"1"
"exp1_PowerSoil-PBS-2elu-9";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"9";304;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-10";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"10";290;TRUE;"1"
"exp1_PowerSoil-PBS-2elu-11";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"11";382;TRUE;"1"
"exp1_PowerSoil-PBS-2elu-12";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"12";147;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-13";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"13";150;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-14";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"14";199;TRUE;"1"
"exp1_PowerSoil-PBS-2elu-15";"BCC";"sample";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"15";748;FALSE;"1"
"exp1_PowerSoil-PBS-2elu-B";"BCC";"ctrl";"PowerSoil Pro";"PBS";"2";"PS_PBS_2";"negative";13,2;TRUE;"1"
"exp1_QuickDNA-eau-1elu-1";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"1";372;FALSE;"1"
"exp1_QuickDNA-eau-1elu-2";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"2";508;TRUE;"1"
"exp1_QuickDNA-eau-1elu-3";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"3";218;FALSE;"1"
"exp1_QuickDNA-eau-1elu-4";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"4";108;TRUE;"1"
"exp1_QuickDNA-eau-1elu-5";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"5";97;FALSE;"1"
"exp1_QuickDNA-eau-1elu-6";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"6";24;FALSE;"1"
"exp1_QuickDNA-eau-1elu-7";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"7";107;FALSE;"1"
"exp1_QuickDNA-eau-1elu-8";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"8";10,4;FALSE;"1"
"exp1_QuickDNA-eau-1elu-9";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"9";91;FALSE;"1"
"exp1_QuickDNA-eau-1elu-10";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"10";5;TRUE;"1"
"exp1_QuickDNA-eau-1elu-11";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"11";94,2;FALSE;"1"
"exp1_QuickDNA-eau-1elu-12";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"12";151;TRUE;"1"
